"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"6 093 résultats trouvés pour recycling AND plastic AND '3D printing'";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"11";"Device for recycling wire-drawing 3D printing consumables from plastic bottles";"WANG LONGYUAN 
CUI HUANHUAN 
LI DEQUAN";"YUNNAN VOCATIONAL COLLEGE OF MECHANICAL AND ELECTRICAL TECH";"CN221292186U";"2023-10-19";"B29B17/00 
B29C48/05 
B29C48/285";"Y02W30/62 (EP)";"2024-07-09";"2024-07-09";"091743405";
"12";"Photosensitive resin recovery device for 3D printing parts";"LI REN";"SHANDONG YIZHIJIANG 3D PRINTING CO LTD";"CN218366529U";"2022-09-09";"B29C64/357 
B33Y40/00";"Y02W30/62 (EP)";"2023-01-24";"2023-01-24";"084973475";
"13";"Novel 3D printing sand blasting machine";"ZHU XUEREN";"SHANGHAI ZHUKUN 3D PRINTING TECH CO LTD";"CN218285139U";"2022-09-27";"B24C1/10 
B24C3/04 
B24C9/00";"";"2023-01-13";"2023-01-13";"084804837";
"14";"3D printing plastic base material recovery processing equipment";"LU PENG 
XIAO LI 
LU YAN";"SHENZHEN ZHANCHENG WEIYE ELECTRONIC CO LTD";"CN116408976A";"2023-04-21";"B01D46/10 
B29B17/00 
B29B17/04 
B29C35/16 
B29C64/35 
B29C64/357 
B33Y40/00";"B01D46/10 (CN) 
B29B17/0005 (CN) 
B29B17/0026 (CN) 
B29B17/04 (CN) 
B29C35/16 (CN) 
B29C64/35 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
B29B2017/0476 (CN) 
B29C2035/1616 (CN) 
B29C2035/1658 (CN) 
Y02W30/62 (EP)";"2023-07-11";"2023-07-11";"087059417";
"15";"Waste alcohol filtering and recycling device for photosensitive resin 3D printing";"LI QING 
LIU ZHIWEI 
CHEN YUNLAI 
CHEN GANG 
YANG SHUAI";"SHANGHAI JINGXIE 3D TECH CO LTD";"CN111686505A";"2019-03-11";"B01D36/02";"B01D36/02 (CN)";"2020-09-22";"2020-09-22";"072474404";
"16";"3D printing waste recycling treatment equipment";"CHEN XUAN";"XUZHOU DAYE 3D TECH CO LTD";"CN115026311A";"2022-08-11";"B22F1/14 
B22F12/00 
B29B17/04 
B33Y40/20";"B22F1/14 (CN) 
B22F12/00 (CN) 
B29B17/0404 (CN) 
B33Y40/20 (CN) 
Y02W30/62 (EP)";"2022-09-09";"2022-09-09";"083130821";
"17";"Printing supplies prepared by recycling waste plastics in high-value manner and preparation method of printing supplies";"FENG KEFA";"GUANGXI FENGDA 3D TECH CO LTD";"CN106832595A";"2017-03-12";"B33Y70/00 
C08K13/02 
C08K3/22 
C08K3/34 
C08K5/103 
C08K5/21 
C08L23/12 
C08L33/04 
C08L67/04 
C08L69/00 
C08L71/02 
C08L97/02";"B33Y70/00 (CN) 
C08L23/12 (CN) 
C08L2201/02 (CN) 
C08L2205/025 (CN) 
C08L2205/035 (CN) 
C08L2205/16 (CN) 
C08L2207/20 (CN) 
C08L23/12, C08L97/02, C08L67/04, C08L33/04, C08L69/00, C08L71/02, C08K13/02, C08K5/21, C08K2003/2227, C08K3/2279, C08K3/346, INV (CN)      ";"2017-06-13";"2017-06-13";"059145080";
"18";"Device for recovering plastic for manufacturing 3D printing supplies";"FU ZUOQIANG 
YANG ERRUI 
SHANG CHENCHEN 
HOU MENGLI 
ZHANG JIAYUAN 
WANG YUAN 
NIE RONGCHUN";"UNIV ANHUI SCIENCE & TECH";"CN106426649A 
CN106426649B";"2016-09-07";"B02C1/14 
B02C18/12 
B02C19/18 
B29B17/04 
B29C47/00 
B33Y70/00";"B02C1/14 (CN) 
B02C18/12 (CN) 
B02C19/186 (CN) 
B29B17/0404 (CN) 
B29C48/05 (CN) 
B33Y70/00 (CN) 
B29B2017/044 (CN) 
B29B2017/0488 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2017-02-22 
2018-07-31";"2017-02-22";"058165205";
"19";"Machine and manufacturing method for recycling 3D printing waste materials and remanufacturing consumables";"DU YUJIE 
LYU ZHIBO 
WANG RENSHENG";"UNIV ZHEJIANG OCEAN";"CN118342749A";"2024-04-07";"B29B17/00 
B29C48/025 
B29C48/05 
B29C48/28 
B29C48/355 
B29C48/395";"B29B17/00 (CN) 
B29C48/025 (CN) 
B29C48/05 (CN) 
B29C48/28 (CN) 
B29C48/355 (CN) 
B29C48/395 (CN)";"2024-07-16";"2024-07-16";"091811207";
"20";"3D printing device for plastic forming";"PENG XINLIANG";"DEQING LIYE PLASTIC FACTORY";"CN119871888A";"2024-12-26";"B29C35/16 
B29C64/176 
B29C64/20 
B29C64/245 
B29C64/35 
B29C64/379 
B29C64/386 
B33Y30/00 
B33Y40/00 
B33Y50/00";"B29C35/16 (CN) 
B29C64/176 (CN) 
B29C64/20 (CN) 
B29C64/245 (CN) 
B29C64/35 (CN) 
B29C64/379 (CN) 
B29C64/386 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN) 
B33Y50/00 (CN)";"2025-04-25";"2025-04-25";"095423363";
"21";"3D printer capable of achieving waste plastic recycling by taking waste plastic as printing materials";"LI QIANG 
PENG ZHEN 
LIU CONGHU 
HE ZIMING 
WAN RAN 
WANG ZHUO 
HUA WENJIE 
LIU JUNFENG 
ZHAN YUNLONG";"UNIV SUZHOU";"CN113650287A";"2021-08-17";"B29B17/00 
B29B17/04 
B29C64/118 
B29C64/245 
B29C64/295 
B29C64/307 
B29C64/321 
B33Y10/00 
B33Y30/00 
B33Y40/00 
B33Y40/10";"B29B17/00 (CN) 
B29B17/04 (CN) 
B29C64/118 (CN) 
B29C64/245 (CN) 
B29C64/295 (CN) 
B29C64/307 (CN) 
B29C64/321 (CN) 
B33Y10/00 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN) 
B33Y40/10 (CN) 
B29B2017/044 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2021-11-16";"2021-11-16";"078492184";
"22";"3D printing plastic base material recovery processing equipment";"LONG XIAOJIANG 
HUANG WEIRONG 
TANG MEILIAN 
LONG YUHAN 
LONG CHENGJUN";"SHENZHEN EASYTHREED TECH CO LTD";"CN119159741A 
CN119159741B";"2024-11-13";"B29C45/03 
B29C45/17 
B29C45/26 
B29C45/40 
B29C45/42 
B29C45/46 
B29C45/74 
B29C64/357 
B33Y40/00";"B29C45/03 (CN) 
B29C45/1761 (CN) 
B29C45/1775 (CN) 
B29C45/2602 (CN) 
B29C45/4005 (CN) 
B29C45/4225 (CN) 
B29C45/464 (CN) 
B29C45/74 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
B29C2045/4036 (CN) 
Y02W30/62 (EP)";"2024-12-20 
2025-02-11";"2024-12-20";"093888345";
"23";"Resin recovery device of 3D printing equipment";"YAN ZIYING";"HEYUAN TUONENG 3D TECH CO LTD";"CN211683525U";"2019-12-27";"B29C64/357 
B33Y40/00";"";"2020-10-16";"2020-10-16";"072795696";
"24";"Toy 3D printing system with recycling device";"ZHAO GUOPING";"ZHUHAI JINHUI TECH CO LTD";"CN109774137A";"2019-01-29";"B29C64/20 
B29C64/255 
B29C64/30 
B29C64/314 
B29C64/321 
B29C64/357 
B29C64/393 
B33Y30/00 
B33Y40/00 
B33Y50/02";"";"2019-05-21";"2019-05-21";"066503536";
"25";"3D printer with novel double-head printing head";"HUANG ZHONGJIA 
WANG XINSHENG 
YANG JUN 
YAO CHUN 
LI SIWEN 
ZHENG LANBIN 
WU ZHIHUA 
LYU CHEN";"ANHUI CHUNGU 3D PRINTING INTELLIGENT EQUIPMENT IND TECH RES INST CO LTD";"CN106696267A";"2016-11-25";"B29C64/20 
B29C64/209 
B29C64/255 
B29C64/295 
B29C64/329 
B33Y30/00";"B33Y30/00 (CN)";"2017-05-24";"2017-05-24";"058934901";
"26";"3D printer capable of recycling waste plastics";"GUAN JIAYING 
HE YUERU";"WENZHOU INSTITUTE OF TECH";"CN118991037A 
CN118991037B";"2024-10-24";"B29B17/00 
B29B17/04 
B29C64/118 
B29C64/314 
B29C64/357 
B29C64/393 
B33Y10/00 
B33Y40/00 
B33Y50/02";"B29B17/00 (CN) 
B29B17/04 (CN) 
B29C64/118 (CN) 
B29C64/314 (CN) 
B29C64/357 (CN) 
B29C64/393 (CN) 
B33Y10/00 (CN) 
B33Y40/00 (CN) 
B33Y50/02 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2024-11-22 
2024-12-27";"2024-11-22";"093488740";
"27";"Method for preparing wood-plastic composite 3D printing material from recycled plant cellulose";"HUANG LIJIE 
WANG XIAOTONG 
GU BI 
HUANG CHONGXING 
ZHOU LEI 
CHEN JIE 
WANG SHUANGFEI 
QIN YANGHUA";"UNIV GUANGXI";"CN105860464A 
CN105860464B";"2016-03-30";"B29C47/00 
B29C48/92 
B33Y70/00 
C08K5/09 
C08L1/02 
C08L5/08 
C08L67/04";"B29C48/05 (CN) 
B29C48/92 (CN) 
B33Y70/00 (CN) 
C08L1/02 (CN) 
C08L67/04 (CN) 
B29C2948/9259 (CN) 
B29C2948/92704 (CN) 
B29C2948/92885 (CN) 
B29C2948/92904 (CN) 
C08L2205/03 (CN) 
C08L1/02, C08L67/04, C08L5/08, C08K5/09, INV (CN)       
C08L67/04, C08L1/02, C08L5/08, C08K5/09, INV (CN)      ";"2016-08-17 
2018-07-10";"2016-08-17";"056627258";
"28";"3D prints plastics recycling machine";"TANG LU";"UNIV JIANGXI TECHNOLOGY";"CN205767020U";"2016-05-25";"B29B17/00 
B29B17/04";"Y02W30/62 (EP)";"2016-12-07";"2016-12-07";"058113645";
"29";"TÊTE D'IMPRESSION 3D ET IMPRIMANTE 3D";"WANG JUNWEI [CN] 
YAN TAO [CN] 
BAI XUE [CN] 
PENG FAN [CN] 
LIU YI [CN] 
MA XI [CN] 
MA RUI [CN] 
DU YINXUE [CN] 
YANG XIAOPING [CN]";"KOCEL INTELLIGENT MACHINERY LTD [CN]";"EP3974186A1 
EP3974186A4 
EP3974186B1 
EP3974186C0";"2020-07-27";"B29C67/00 
B41J2/045 
B41J2/14 
B41J2/175 
B29C64/209 
B33Y30/00";"B29C64/209 (EP) 
B33Y30/00 (EP) 
B41J2/175 (EP)";"2022-03-30 
2024-10-30";"2022-02-03";"076829237";
"30";"METHOD FOR PRODUCING A SUPPLY OBTAINED FROM THE RECYCLING OF PLASTIC MATERIAL OF INDUSTRIAL AND POST-CONSUMER RESIDUES, TO BE USED BY 3D PRINTERS";"ACERBO HORACIO [AR] 
GIRELLI TOBIAS [AR] 
PALAZZO GUIDO [AR]";"ENYE TECH S A [AR]";"US2016107337A1";"2014-10-21";"B29B11/10 
B29B17/00 
B29B17/04 
B29B9/06";"B29B11/10 (US) 
B29B17/00 (US) 
B29B17/0026 (EP,US) 
B29B17/04 (US) 
B29B9/06 (US) 
B33Y70/00 (EP,US) 
B29B2017/0015 (US) 
B29C64/35 (EP,US) 
B29K2067/003 (EP,US) 
B29K2077/00 (EP,US) 
B29K2105/26 (US) 
B29K2995/0094 (US) 
Y02W30/62 (EP,US)";"2016-04-21";"2016-04-21";"054292605";
"31";"3D printing PET consumable recycling device";"XU TIANYU 
QIAN HAO 
LUO ZILI 
MA MINGFENG";"JIANGSU JIANGYIN SECONDARY VOCATIONAL SCHOOL";"CN221212664U";"2023-10-13";"B29B17/00 
B29C48/05 
B29C48/28";"Y02W30/62 (EP)";"2024-06-25";"2024-06-25";"091548520";
"32";"3D printing material recycling and melting device";"LIAO YUXIANG";"LIAO YUXIANG";"CN216799755U";"2022-02-11";"B01D29/03 
B01J6/00 
B33Y40/20";"";"2022-06-24";"2022-06-24";"082042094";
"33";"3D printing new plastic powder treatment device";"LI WENQUAN 
LUO JIE";"SHANGHAI HANSUN MOULD MFT CO LTD";"CN220808539U";"2023-09-11";"B29C64/357 
B33Y40/00";"";"2024-04-19";"2024-04-19";"090704061";
"34";"3D printing waste recovery device";"ZOU SHIWEN 
LIU QIAN 
FU JING 
LIU CAIPING 
LI LIMIN 
ZENG XIANGFU 
XIONG BINGYUE 
WU FANG";"JIAN CHUANGXIANG 3D TECH CO LTD";"CN116277968A";"2023-04-12";"B29B9/06 
B29C35/16 
B29C64/30 
B29C64/357 
B33Y40/00";"B29B9/06 (CN) 
B29C35/16 (CN) 
B29C64/30 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
B29C2035/1616 (CN) 
Y02W30/62 (EP)";"2023-06-23";"2023-06-23";"086803314";
"35";"Recycling device for 3D printing supplies";"CAI TIANSHENG";"CAI TIANSHENG";"CN219564159U";"2023-02-22";"B29C64/357 
B33Y40/00";"Y02W30/62 (EP)";"2023-08-22";"2023-08-22";"087659456";
"36";"3D printing apparatus cleaner filters recycling bin";"JIANG ZEXING";"SHENZHEN KINGS 3D PRINTING EQUIPMENT TECH CO LTD";"CN206138865U";"2016-11-01";"B01D36/04";"";"2017-05-03";"2017-05-03";"058623475";
"37";"3D printing consumable recycling method and system and 3D printer";"SHI KAIWEN 
XIE YAOBIN 
LI LONGLIANG 
CHEN YAN 
HUANG ZHONGKUN";"SHENZHEN HOSONSOFT CO LTD";"CN112895456A";"2021-01-13";"B29C64/357 
B29C64/393 
B33Y40/00 
B33Y50/02";"B29C64/357 (CN) 
B29C64/393 (CN) 
B33Y40/00 (CN) 
B33Y50/02 (CN)";"2021-06-04";"2021-06-04";"076112714";
"38";"Low-cost FDM (fused deposition modeling) printing wire prepared from polyester recycled broken materials as well as preparation method and application of low-cost FDM printing wire";"ZENG CHAO";"KUNSHAN TANSUOZHE 3D PRINTING FOUNDATION MAT CO LTD";"CN119192803A";"2024-09-13";"B33Y70/10 
C08L23/08 
C08L67/02 
C08L67/04";"B33Y70/10 (CN) 
C08L67/02 (CN) 
C08L67/04 (CN) 
C08L2201/10 (CN) 
C08L67/02, C08L67/04, C08L23/0815, C08L23/0853, INV (CN)       
C08L67/02, C08L67/04, C08L23/0815, INV (CN)       
C08L67/02, C08L67/04, C08L23/0853, INV (CN)       
C08L67/04, C08L67/02, C08L23/0815, INV (CN)      ";"2024-12-27";"2024-12-27";"094065706";
"39";"3D printing waste sorting and recycling device";"FAN YUNJUAN";"FAN YUNJUAN";"CN111391325A 
CN111391325B";"2020-03-26";"B29B17/00 
B29B17/02 
B29C64/35 
B29C64/357 
B33Y40/00 
B33Y40/20";"B29B17/00 (CN) 
B29B17/02 (CN) 
B29C64/35 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
B29B2017/0015 (CN) 
B29B2017/0203 (CN) 
B29B2017/0224 (CN) 
B29B2017/0272 (CN) 
B29B2017/0289 (CN) 
Y02W30/62 (EP)";"2020-07-10 
2023-06-09";"2020-07-10";"071425761";
"40";"Novel plastic clay material for 3D printing";"QI HAIBING";"GUANGXI NANNING GUIERCHUANG ENV PROT SCIENCE AND TECH CO LTD";"CN106186844A 
CN106186844B";"2016-07-12";"B33Y70/00 
C04B26/28";"B33Y70/00 (CN) 
C04B26/28 (CN) 
C04B2111/00017 (CN) 
C04B26/28, C04B24/045, C04B24/121, C04B22/062, C04B24/005, C04B18/20, C04B18/141, C04B14/106, C04B22/12, C04B14/383, C04B24/386, C04B24/02, C04B24/04, C04B24/00, INV (CN)      ";"2016-12-07 
2017-12-26";"2016-12-07";"057477821";
"41";"3D printing waste recycling and reutilizing device";"YANG WEIMIN 
MA HAOPENG 
YAN HUA 
LU CHEN 
DU PENGZHU 
XIANG SHENGYI 
MIAO JIANFEI 
XU ZHEN 
ZHANG QINGREN 
XU KAIYI 
WANG ZHILIANG 
LIAO JIAWEI 
JIAO ZHIWEI 
DING YUMEI";"UNIV BEIJING CHEM TECH";"CN108556360A";"2018-04-09";"B29C64/118 
B29C64/357 
B33Y40/00";"B29C64/118 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN)";"2018-09-21";"2018-09-21";"063534265";
"42";"Three-dimensional (3D) printing waste recovery method";"SHEN HAOYU 
LI MINGHUA 
NIU MINGJIAN 
JIANG XIANZHI 
CHEN HONGLI";"UNIV ZHEJIANG SCIENCE & TECH";"CN112497751A";"2020-12-03";"B29B17/04 
B29C48/05 
B29C48/28 
B29C48/80 
B29C48/88 
B29C48/885 
B29C55/18 
B29C64/357 
B33Y40/00";"B29B17/04 (CN) 
B29C48/0018 (CN) 
B29C48/05 (CN) 
B29C48/28 (CN) 
B29C48/885 (CN) 
B29C48/911 (CN) 
B29C55/18 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2021-03-16";"2021-03-16";"074971805";
"43";"Fused material recycling technology-based FDM 3D printing consumable recycling device";"ZHU WANG 
SHENG YING 
GUO LIWEI 
DENG JIAHUI";"UNIV ANHUI TECHNOLOGY";"CN220638930U";"2023-08-16";"B29C64/357 
B33Y40/00";"";"2024-03-22";"2024-03-22";"090267914";
"44";"3D Waste mold recycling method using welding 3D printing method";"JU SUNG HO";"MPWORKS CO LTD [KR]";"KR102746197B1 
KR20240006962A";"2022-07-07";"B22F10/64 
B22F10/66 
B23K26/342 
B23K9/04 
B23P15/24 
B33Y10/00";"B22F10/64 (KR) 
B22F10/66 (KR) 
B23K26/342 (KR) 
B23K9/044 (KR) 
B23P15/24 (KR) 
B33Y10/00 (KR) 
Y02P10/25 (EP)";"2024-01-16 
2024-12-24";"2024-01-16";"089719855";
"45";"Novel graphene 3D (Three-Dimensional) printing material";"QIN YANGHUA";"NANNING MENGHUAN 3D ENV PROT TECH CO LTD";"CN106633716A";"2016-11-17";"B33Y70/00 
C08B31/00 
C08K13/02 
C08K3/04 
C08K3/32 
C08K3/38 
C08K5/11 
C08L101/00 
C08L3/04 
C08L67/04";"B33Y70/00 (CN) 
C08B31/003 (CN) 
C08L67/04 (CN) 
C08L2201/08 (CN) 
C08L2205/035 (CN) 
C08L67/04, C08L101/00, C08L3/04, C08K13/02, C08K3/04, C08K2003/324, C08K5/11, C08K3/38, INV (CN)      ";"2017-05-10";"2017-05-10";"058808046";
"46";"3D printing consumables waste recovery device";"GE YING 
YU HANYING 
LI JINDAN";"GE YING";"CN207449145U";"2017-09-19";"B22F10/73 
B22F12/00 
B29C64/357 
B29C64/386 
B33Y30/00";"";"2018-06-05";"2018-06-05";"062283281";
"47";"Application of high breakage elongation environment-friendly material to 3d printing";"ZHONG ZHENHONG";"GUANGXI FENGDA 3D TECH CO LTD";"CN107573711A";"2017-09-05";"B33Y70/00 
C08K13/06 
C08K3/04 
C08K3/22 
C08K3/32 
C08K3/38 
C08K5/098 
C08K5/103 
C08K5/12 
C08K5/134 
C08K5/17 
C08K5/524 
C08K9/04 
C08L101/00 
C08L3/02 
C08L33/04 
C08L51/04 
C08L67/04 
C08L83/04 
C08L93/04 
C08L97/02";"";"2018-01-12";"2018-01-12";"061029884";
"48";"Vertical type 3D printing waste recycling device";"ZHANG LEI 
ZHONG YANJIU 
ZHENG YU 
ZHENG CHENXING 
KAN HUANYING 
JIANG RUI 
DONG WANFU";"UNIV HEFEI TECHNOLOGY";"CN108312540A 
CN108312540B";"2018-03-01";"B33Y40/00 
B29C64/357 
B33Y40/20";"B33Y40/00 (CN)";"2018-07-24 
2020-05-05";"2018-07-24";"062901122";
"49";"3D printing consumable waste recycling device";"LI ZHIPING 
ZHAO XINGHUA 
LI JING";"LI ZHIPING";"CN108501378A";"2018-05-25";"B29C64/357 
B33Y40/00";"B29C64/357 (CN) 
B33Y40/00 (CN)";"2018-09-07";"2018-09-07";"063401636";
"50";"METHOD AND DEVICE FOR 3D PRINTING WITH A NARROW WAVELENGTH SPECTRUM";"GÜNTHER DANIEL [DE] 
SCHECK CHRISTOPH [DE] 
BRÜLLER LISA [DE] 
REEVERS JAMES [DE]";"VOXELJET AG [DE]";"US2018326662A1";"2015-11-20";"B29C64/153 
B29C64/268 
B33Y10/00 
B33Y30/00";"B22F10/28 (EP) 
B22F12/13 (EP) 
B22F12/42 (EP) 
B29C64/153 (US) 
B29C64/268 (US) 
B33Y10/00 (EP,US) 
B33Y30/00 (US) 
B23K26/144 (US) 
B29K2077/00 (US) 
B29K2105/0038 (US)";"2018-11-15";"2017-05-24";"057609637";
"51";"Wax spraying 3D printing equipment and 3D printing method";"PENG LING";"SHENZHEN PLEMPIRE 3D TECH CO LTD";"CN117002007A 
CN117002007B";"2023-08-11";"B29C64/232 
B29C64/295 
B29C64/35 
B33Y30/00 
B33Y40/00";"B29C64/232 (CN) 
B29C64/295 (CN) 
B29C64/35 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN)";"2023-11-07 
2024-04-05";"2023-11-07";"088563381";
"52";"3D printing material waste recycling machine";"SU YANPING 
MA ANTING 
DUAN JIACONG 
ZHANG WENBIN 
YANG BITAO 
JIANG JIE 
YU LIBIN 
GUO DEWEI 
MIN JIE 
WU HAO 
WANG HONGJUN";"RED RIVER COLLEGE";"CN216100280U";"2021-09-20";"B29B17/00 
B29C48/05 
B29C48/28";"Y02W30/62 (EP)";"2022-03-22";"2022-03-22";"080734845";
"53";"Waste crushing storage type 3D printing device";"JIA XINXING 
LIU MIN 
XIAO JINGYAO";"QINGDAO SANYI 3D TECH CO LTD";"CN212708029U";"2020-07-15";"B29B17/04 
B29C64/118 
B29C64/357 
B33Y40/00";"Y02W30/52 (EP) 
Y02W30/62 (EP)";"2021-03-16";"2021-03-16";"074906385";
